objectid,treelatitude,treelongitude,centerlatitude,centerlongitude,dbh,species,creationdate,roadsidebydate,roadsidebycoord,isatcorrectsideofroad,truetreelongitude,truetreelatitude
114,467321.0910282195,258653.62045137712,467324.1520462302,258652.69006635546,12,1,11/20/2021 11:23,S/E,S/E,True,258654.25877926106,467318.9908942922
115,467318.0326045632,258646.26916644303,467318.9420368236,258645.99323112558,11,1,11/20/2021 11:23,S/E,S/E,True,258646.90175446193,467315.9477103307
116,467315.3146077718,258643.11260345858,467316.4360943506,258642.7721367889,17,1,11/20/2021 11:25,S/E,S/E,True,258643.7738395707,467313.1365166657
117,467296.1233111383,258652.27115824632,467318.5255869668,258645.457934228,12,1,11/20/2021 11:25,S/E,S/E,True,258652.90984102426,467294.02328511246
118,467308.0041631727,258631.89358161838,467308.0035204406,258631.89441143328,12,1,11/20/2021 11:27,S/E,N/W,False,258633.62892176158,467306.66005767556
119,467305.3037000348,258627.29017545495,467304.6694854791,258627.4783218786,17,1,11/20/2021 11:29,S/E,N/W,False,258627.93756216997,467303.121452454
120,467301.19001412246,258622.64186550496,467301.049870732,258622.68395547295,12,1,11/20/2021 11:30,S/E,N/W,False,258623.27324022242,467299.0877793672
121,467296.5106075241,258615.78598894738,467295.40989086666,258616.33493584202,11,1,11/20/2021 11:31,S/E,N/W,False,258616.75835496315,467294.56087526196
122,467292.2938200272,258611.10382894045,467290.0466729605,258612.22363401647,15,1,11/20/2021 11:33,S/E,N/W,False,258612.10456932403,467290.2856037174
123,467289.74652516097,258609.51610466244,467287.78801861644,258610.49220546865,25,0,11/20/2021 11:35,S/E,N/W,False,258610.5894382879,467287.5929249216
124,467282.20691337297,258604.53195169574,467280.8297572405,258605.2518989354,17,0,11/20/2021 11:36,S/E,N/W,False,258605.5865148151,467280.1896849055
125,467273.1282116823,258601.1470725054,467273.6163742379,258600.78107206698,13,1,11/20/2021 11:40,S/E,S/E,True,258602.47354071916,467271.3590003777
126,467269.90252271836,258598.30178055816,467269.4008986811,258598.68042791027,9,1,11/20/2021 11:41,S/E,N/W,False,258599.59483381952,467268.18951299106
127,467262.8327515413,258595.0297907272,467262.5318360191,258595.25744658196,11,1,11/20/2021 11:42,S/E,N/W,False,258596.34430645575,467261.09522457403
128,467259.1872869207,258592.81400738843,467258.4180202602,258593.55073202762,11,1,11/20/2021 11:43,S/E,N/W,False,258594.32097445976,467257.6137552851
129,467252.34854880994,258590.79845131453,467252.05407617084,258591.08141196123,11,1,11/20/2021 11:45,S/E,N/W,False,258592.3080459069,467250.7775377568
130,467248.64034718106,258587.9777171553,467247.3174892007,258589.243529847,17,0,11/20/2021 11:46,S/E,N/W,False,258589.55141799344,467246.99572572473
131,467243.310536623,258586.48462102388,467242.4670159003,258587.48435462423,24,0,11/20/2021 11:47,S/E,N/W,False,258588.31128172425,467241.769299884
132,467235.81013589277,258585.24084992852,467235.6914213579,258585.38314571918,10,1,11/21/2021 11:57,S/E,N/W,False,258586.90135508394,467234.4248096211
133,467230.22661146405,258581.77926793252,467228.94925518223,258583.29229701392,8,1,11/21/2021 11:58,S/E,N/W,False,258583.4068174606,467228.8525726969
134,467223.8843530175,258582.75058402948,467224.2909166678,258582.1194911332,12,1,11/21/2021 12:00,S/E,S/E,True,258584.59582469796,467222.69560919504
135,467218.2980895909,258581.92852558603,467218.9685622967,258580.88629732712,11,1,11/21/2021 12:02,S/E,S/E,True,258583.76086817056,467217.11933083046
136,467212.95003582333,258580.15092081018,467213.03395451664,258579.56571895038,12,1,11/21/2021 12:03,S/E,S/E,True,258582.323694121,467212.6384573585
137,467214.52749133203,258582.2495105268,467215.86550927174,258580.16731605236,20,0,11/21/2021 12:04,S/E,S/E,True,258584.20547933254,467213.27058599313
138,467200.9030400281,258580.64730682076,467201.1246104553,258579.0848109937,10,1,11/21/2021 12:05,S/E,S/E,True,258582.788386709,467200.59942322655
